vessel,trip_code,pol,pod,atd,ata,ops_start,ops_end,eto,etc,source_ata_raw,source_sheet,notes
ANEMOS,1LY1A4,FRLEH,USNYC,2024-08-09,2024-09-03,2024-08-05,2024-08-09,,,,ANEMOS LIST VIEW,Premier voyage commercial ANEMOS (mise en service 08/2024). Aucun relevé GPS avant le 2024-10-21 dans « 12 - Tracking ».
ANEMOS,1YMB4,USNYC,COSTM,2024-09-07,2024-09-17,2024-09-03,2024-09-07,2024-08-29,2024-09-02,,ANEMOS LIST VIEW,
ANEMOS,1MQC4,COSTM,CAQUE,2024-09-21,2024-10-05,2024-09-17,2024-09-21,2024-10-02,2024-10-06,,ANEMOS LIST VIEW,
ANEMOS,1QLD4,CAQUE,FRLEH,2024-10-10,2024-10-24,2024-10-05,2024-10-09,2024-10-20,2024-10-23,,ANEMOS LIST VIEW,
ANEMOS,1LYE4,FRLEH,USNYC,2024-11-01,2024-11-25,2024-10-24,2024-10-30,2024-12-10,2024-12-13,,ANEMOS LIST VIEW,
ANEMOS,1YLF4,USNYC,FRLEH,2024-11-29,2024-12-17,2024-11-26,2024-11-27,2025-04-06,2025-04-10,,ANEMOS LIST VIEW,ETO/ETC en 2025-04 dans le classeur (incohérentes avec l’ATD 2024-11-29) — ignorées.
ANEMOS,1CLA5,FRCOC,FRLEH,2025-03-06,2025-03-09,,,,,,ANEMOS LIST VIEW,Rupture de continuité avec 1YLF4 (POD FRLEH → POL FRCOC) : arrêt technique Concarneau hiver 2024-25 non tracé comme leg.
ANEMOS,1BLY5,FRLEH,USNYC,2025-03-13,2025-04-03,,,,,,ANEMOS LIST VIEW,
ANEMOS,1CYL5,USNYC,FRFEC,2025-04-03,2025-04-24,,,,,,ANEMOS LIST VIEW,
ANEMOS,1DLG5,FRLEH,GPPTP,2025-04-28,2025-05-19,,,,,,ANEMOS LIST VIEW,Rupture de continuité avec 1CYL5 (POD FRFEC → POL FRLEH) : repositionnement non tracé.
ANEMOS,1EGB5,GPPTP,GTPBR,2025-05-20,2025-06-11,,,,,,ANEMOS LIST VIEW,
ANEMOS,1FBL5,GTPBR,FRFEC,2025-06-13,2025-07-08,,,,,,ANEMOS LIST VIEW,
ANEMOS,1GLY5,FRFEC,USNYC,2025-07-16,2025-08-06,,,,,,ANEMOS LIST VIEW,
ANEMOS,1HYF5,USNYC,FRFEC,2025-08-07,2025-08-25,,,,,,ANEMOS LIST VIEW,
ANEMOS,1IFY5,FRFEC,USNYC,2025-09-01,2025-09-23,,,,,,ANEMOS LIST VIEW,
ANEMOS,1JYZ5,USNYC,BRSSO,2025-09-24,2025-10-29,,,,,,ANEMOS LIST VIEW,
ANEMOS,1KZF5,BRSSO,FRFEC,2025-11-04,2025-12-10,,,,,,ANEMOS LIST VIEW,
ANEMOS,1LFY5,FRFEC,USNYC,2025-12-23,2026-01-11,,,,,,ANEMOS LIST VIEW,
ANEMOS,1AYF6,USNYC,FRFEC,2026-01-13,2026-01-31,,,,,,ANEMOS LIST VIEW,
